NANOG,DATE,LOCATION
6,02/1996,San Diego
7,04/1996,Washington DC
8,10/1996,Ann Arbor
9,02/1997,San Francisco
10,06/1997,Tampa
11,10/1997,Scottsdale
12,02/1998,Albuquerque
13,06/1998,Dearborn
14,11/1998,Atlanta
15,01/1999,Denver
16,05/1999,Eugene
17,10/1999,Montreal
18,02/2000,San Jose
19,06/2000,Albuquerque
20,10/2000,Washington DC
21,02/2001,Atlanta
22,05/2001,Scottsdale
23,10/2001,Oakland
24,02/2002,Miami
25,06/2002,"Toronto, CA"
26,10/2002,Eugene
27,02/2003,Phoenix
28,06/2003,Salt Lake City
29,10/2003,Chicago
30,02/2004,Miami
31,05/2004,San Francisco
32,10/2004,Reston
33,01/2005,Las Vegas
34,05/2005,Seattle
35,10/2005,Los Angeles
36,02/2006,Dallas
37,06/2006,San Jose
38,10/2006,St. Louis
39,02/2007,Toronto
40,06/2007,Bellevue
41,10/2007,Albuquerque
42,02/2008,San Jose
43,06/2008,Brooklyn
44,10/2008,Los Angeles
45,01/2009,Santo Domingo DR
46,06/2009,Philadelphia
47,10/2009,Dearborn
48,02/2010,Austin
49,06/2010,San Francisco
50,10/2010,Atlanta
51,01/2011,Miami
52,06/2011,Denver
53,10/2011,Philadelphia
54,02/2012,San Diego
55,06/2012,Vancouver
56,10/2012,Dallas
57,02/2013,Orlando
58,06/2013,New Orleans
59,10/2013,Phoenix
60,02/2014,Atlanta
61,06/2014,Bellevue
62,10/2014,Baltimore
63,02/2015,San Antonio
64,06/2015,San Francisco
65,10/2015,Montreal
66,02/2016,San Diego
67,06/2016,Chicago
68,10/2016,Dallas
69,02/2017,Washington DC
70,06/2017,Bellevue
71,10/2017,San Jose
72,02/2018,Atlanta
73,06/2018,Denver
74,10/2018,Vancouver
75,02/2019,San Francisco
76,06/2019,Washington DC
77,10/2019,Austin
78,02/2020,San Francisco
79,06/2020,1st Virtual
80,10/2020,2nd Virtual
81,02/2021,3rd Virtual
82,06/2021,4th Virtual
83,11/2021,Minneapolis/Virtual
84,02/2022,Austin/Virtual
85,06/2022,"Montreal, CA/Virtual"
86,10/2022,Hollywood/Virtual
